lib,testcase,usertime,elapsed,maxmem
Hash-bv,dd2g4,0.46,0.49,17640
hash,dd2g4,0.6,0.68,17908
Bal-bv,dd2g4,0.84,0.91,17328
Red-bv,dd2g4,0.85,0.88,17296
Gnu-bv,dd2g4,0.94,1,17296
red,dd2g4,1,1.1,17560
bal,dd2g4,1.02,1.14,17716
gnu,dd2g4,1.14,1.24,17564
Epp-bv,dd2g4,27.27,27.91,17032
Bin-bv,dd2g4,28.8,28.91,17032
epp,dd2g4,32.05,32.3,17564
bin,dd2g4,33.8,33.84,17560
Hash-bv,F-dwgenb,0.15,0.15,6164
hash,F-dwgenb,0.18,0.26,6160
Red-bv,F-dwgenb,0.19,0.22,6160
Bal-bv,F-dwgenb,0.23,0.24,6160
red,F-dwgenb,0.24,0.25,6160
bal,F-dwgenb,0.28,0.3,6160
Gnu-bv,F-dwgenb,0.28,0.32,6160
gnu,F-dwgenb,0.34,0.35,6160
Bin-bv,F-dwgenb,8.45,9.07,6164
Epp-bv,F-dwgenb,8.51,9.17,6160
bin,F-dwgenb,9.98,10.78,6160
epp,F-dwgenb,10.3,10.84,6160
Hash-bv,irix64,0.1,0.15,6028
hash,irix64,0.17,0.17,6296
Bal-bv,irix64,0.24,0.25,5688
Gnu-bv,irix64,0.25,0.26,5688
bal,irix64,0.3,0.32,5692
Red-bv,irix64,0.31,0.36,5688
gnu,irix64,0.32,0.37,5956
red,irix64,0.36,0.37,5952
Bin-bv,irix64,1.36,1.4,5428
Epp-bv,irix64,1.36,1.37,5428
bin,irix64,1.63,1.75,5692
epp,irix64,1.64,1.78,5688
Hash-bv,vvirix64,0.02,0.03,1988
hash,vvirix64,0.04,0.04,2056
Bal-bv,vvirix64,0.05,0.05,1796
Red-bv,vvirix64,0.05,0.05,1760
bal,vvirix64,0.06,0.07,1928
red,vvirix64,0.06,0.06,2024
Gnu-bv,vvirix64,0.06,0.06,1756
gnu,vvirix64,0.07,0.07,2020
Bin-bv,vvirix64,4.34,4.47,1500
Epp-bv,vvirix64,4.4,4.43,1496
epp,vvirix64,5.09,5.31,1760
bin,vvirix64,5.19,5.54,1756
